,id,name,categories,lat,lng,postalCode,dist
1898,4b2adbdcf964a520feb024e3,Golden States,Chinese Restaurant,51.551349,-0.051522,,3.3007353896542906
1899,4c65a6e1e1da1b8d5cd498c3,Spring Orchid,Chinese Restaurant,51.501294784769016,-0.11031856754205271,SE1 7RH,2.709625813657348
1900,510429e9e4b0280b06a41339,The Great Wall,Chinese Restaurant,51.545716,-0.035795,E9 5RB,2.876930160757323
1901,5d612e4694486800083e0f68,Happy Lamb Hotpot,Chinese Restaurant,51.51736,-0.123409,WC1A 2SL,1.873524780723061
1902,501999abe4b0c236beb5d6bb,New China Restaurant,Chinese Restaurant,51.51766591658903,-0.12368838111973687,WC1A 2SA,1.8727423539332473
1903,5a16a3bfad17892423aba30f,Duddell's,Cantonese Restaurant,51.50498917593683,-0.0885104500761026,SE1 9RY,2.031235327517625
1904,5637a3ad498e26546ab7b133,Joy's Chinese Cusine,Chinese Restaurant,51.5172224712129,-0.1255471045512188,WC1A 1EP,1.94843884396235
1905,4adc5eb1f964a520e32b21e3,Ping Pong,Dim Sum Restaurant,51.50530331051285,-0.1163492915657116,SE1 8XX,2.4558087745297557
1906,4beda46150669c74316548fb,China City,Chinese Restaurant,51.52344980192731,-0.12642632321041544,WC1H 0JZ,1.8936678916062484
1907,58c3f75572efa433cae40ddd,Bao Fa Garden,Chinese Restaurant,51.50227,-0.119411,,2.788511660540962
1908,4b69912bf964a520b1a72be3,China House,Chinese Restaurant,51.5248569519528,-0.1259614151062918,WC1N 1AP,1.893721333494519
1909,4afdd9baf964a520732b22e3,Chop Chop Noodle Bar,Chinese Restaurant,51.53047709507684,-0.12284288445181744,NW1 2SA,1.9819963868465975
1910,4add9af0f964a520236521e3,Chilli Cool,Szechuan Restaurant,51.52670267093771,-0.12475132783707873,WC1H 9EW,1.8935988163538269
1911,4afd5134f964a5204f2722e3,Olympic Cafe,Chinese Restaurant,51.50041665633462,-0.1137280707959786,SE1 7AE,2.853311058709579
1912,4b54a71ff964a520ffc427e3,Dragon Castle,Cantonese Restaurant,51.49216091775606,-0.09818984087917434,SE17 1JL,3.499417503941857
1913,58035972d67cf45e38ba273c,Ping Pong,Dim Sum Restaurant,51.51038689168339,-0.12378792919472319,WC2E 7NA,2.245460884239602
1914,55d79303498ed8dc0c88529d,The Old Street Chinese Restaurant,Szechuan Restaurant,51.52542004942879,-0.08982217966218081,,0.7117067083761899
1915,5d6515ea828a12000826f52a,Three Uncles,Cantonese Restaurant,51.516792,-0.080168,EC2M 4WD,0.6947140853322405
1916,57eebc1f498e33efe0edd7eb,Sinh Le,Cantonese Restaurant,51.513082,-0.075638,E C3N,1.0519492016332255
1917,57250403498e6bd677f513d3,Shu Xiang Ge,Szechuan Restaurant,51.517099,-0.125484,WC1A 1BH,1.950516999832855
1918,5803c66e38fa797fdf8025e7,Water House Chinese Restaurant,Szechuan Restaurant,51.500053,-0.052129,SE16 7JQ,2.5851048173507194
1919,51eab4c8498efab8dc7b3b60,BAO Bar,Taiwanese Restaurant,51.53756460379343,-0.058823667038020035,,1.7456631735153847
1920,4ee673134fc63b8b1f5792ee,Yipin China,Hunan Restaurant,51.53619926475249,-0.10709085650595764,N1 0QD,1.9645654998000779
1921,57e0084a498ebe11df30444c,Crosstown Doughnut & Coffee Bar,Donut Shop,51.524498648896696,-0.07163067394983612,E1 6SB,0.2312832107002996
1922,530c5251498e23d2a004b4a7,Dum Dum Donutterie,Donut Shop,51.523685916336646,-0.07590145884316365,E1 6GY,0.20452776798214917
1923,5968c6bafe37400c129e782d,Crosstown Doughnuts,Donut Shop,51.5200963192707,-0.0759377031977171,E1 6EA,0.30003081853828806
1924,539af9bd498ed490cdde38f8,Crosstown Doughnuts,Donut Shop,51.52045356185287,-0.10939528899421848,EC1N 7TS,1.321588463655737
1925,4b866a57f964a520338931e3,Krispy Kreme,Donut Shop,51.518217,-0.083496,EC2M 7PY,0.6236732959020179
1926,4d56540896ed54818b411370,St John Bakery,Donut Shop,51.49932569128006,-0.07552352534720479,SE1 2HH,2.5812399874794743
1927,5401c8d0498e97602ccf98b6,Crosstown Doughnuts,Donut Shop,51.537746,-0.060814,E8 3RL,1.7494128508428874
1928,566aea8c498e5c54464305c1,Crosstown Doughnuts,Donut Shop,51.50569560928217,-0.08996254200227705,E1 6DW,1.9713617054561836
1929,4b76e734f964a520dc682ee3,Krispy Kreme,Donut Shop,51.5042115,-0.0851868,SE1 9SP,2.0858159959507425
1930,4b795608f964a5209cf42ee3,Krispy Kreme,Donut Shop,51.5175793,-0.1198985,WC1V 7DA,1.7508182980515
1931,5baf815d1c675b002cf3e4d6,St. John Bakery,Donut Shop,51.514434736909664,-0.12640982866287231,WC2H 9DP,2.0894820745754616
1932,5a325fd9f427de60fc763bc5,Krispy Kreme,Donut Shop,51.5140788,-0.1047694,EC4Y 1DE,1.4749749632391935
1933,5abe1b5086bc491d1a4a511b,Magna Donuts,Donut Shop,51.51905,-0.071709,E1 6PU,0.37673716806653185
1934,51b08b60e4b095d04b54e67b,You Doughnut,Donut Shop,51.52322301477823,-0.07915450555560237,EC2A 3EJ,0.27543796540135795
1935,5c06728e811045002c69fd3e,Crosstown Doughnuts,Donut Shop,51.51148,-0.089151934,EC4N 5AR,1.3631875873954293
1936,5c1bad6befa82a002c8c98bb,Doughnut Time,Donut Shop,51.51434,-0.095106,EC2V 6BT,1.2129001283713137
1937,5bd5dc283b8307002c72264b,Doughnut Time,Donut Shop,51.508532,-0.103283,EC4V 4DY,1.8965994687500096
1938,5bbca79ad807ee002cc251c1,Doughnut Time,Donut Shop,51.514155,-0.109513,EC4Y 1BP,1.600170871188058
1939,5c48d913bf7dde002cab6ecb,Doughnut Time,Donut Shop,51.51451,-0.122139,WC2E 9NG,1.95353666182428
1940,5880dd582980db02f6015a87,Crosstown Doughnuts,Donut Shop,51.53050615704576,-0.1233816146850586,N1C 4DE,2.000027488080702
1941,500db2c5e4b0ddfaa8059f41,The Pig and Butcher,Gastropub,51.537409147073845,-0.10690145297540735,N1 0QD,2.0680408446856435
1942,56b4ee4d498eab3cbe3c3654,Leman Street Tavern,Gastropub,51.513741265382045,-0.07047560530704403,,0.9698622738002467
1943,4ac518c3f964a52030a420e3,The Anchor & Hope,Gastropub,51.50338372931985,-0.10643927677545802,SE1 8LP,2.440898387891366
1944,4f3be67f6d860dd7f857480f,The Jugged Hare,Gastropub,51.520945,-0.092302,EC1Y 4SA,0.7327776843881956
1945,554d164a498e1f4802f57a0e,Hungry Donkey,Gastropub,51.51687478215588,-0.07411349350067456,E1 7AL,0.6255079709945319
1946,4ac518e6f964a5200aab20e3,Wright Brothers Oyster & Porter House,Gastropub,51.505662,-0.091577,SE1 9AD,1.9934558215050984
1947,4ac518bdf964a520bda220e3,The Eagle,Gastropub,51.52413563920735,-0.10955063039758461,EC1R 3AL,1.3223207870296352
1948,4adf8060f964a5202b7b21e3,Dean Swift,Gastropub,51.502828340289504,-0.07512927873078969,SE1 2NE,2.1902285800084376
1949,4ac518b9f964a520bea120e3,Duke of Cambridge,Gastropub,51.534636807807345,-0.09869248862062167,N1 8JT,1.6520532759170936
1950,4ac518c0f964a520a7a320e3,Marquess Tavern,Gastropub,51.54316825888746,-0.09535328124911757,NW1 2TB,2.455209660284518
1951,4b4e46caf964a520c9e726e3,The Spurstowe Arms,Gastropub,51.54539844537606,-0.06340887372319307,E8 1AB,2.578887035779932
1952,534000f5498e37d3658f0a9e,The Cat & Mutton,Gastropub,51.53756218722948,-0.060941705764279236,E8 4QJ,1.728434819297683
1953,4e5d5cdecc3f288d99095c84,The Empress,Gastropub,51.53704789933189,-0.04453316442281491,E9 7LH,1.8794121966367838
1954,4ac518c5f964a520e2a420e3,The Charles Lamb,Gastropub,51.532000161002266,-0.10195039467801541,N1 8DE,1.4954981717975215
1955,4f3973e2e4b099ca96814331,The Hunter S,Gastropub,51.545904,-0.083541,N1 3HT,2.652006987951648
1956,4ac518bdf964a520afa220e3,The Peasant,Gastropub,51.525856774047135,-0.10400061899905584,EC1V 4PH,1.1809421327897263
1957,4ac518bef964a52010a320e3,Founder's Arms,Gastropub,51.5085630390231,-0.10133310079708491,SE1 9JH,1.8558076229215477
1958,4ac518c6f964a52034a520e3,The Old Queens Head,Gastropub,51.5372319,-0.1004195,N1 8LN,1.9279628727375202
1959,4ad0d325f964a52029da20e3,De Beauvoir Arms,Gastropub,51.541709540855095,-0.08501086786043545,N1 3JS,2.200937169342316
1960,530366d1498efe4b558d95de,Harrild & Sons,Gastropub,51.515741107432504,-0.10474985499317573,EC4A 4AB,1.3648708262068487
1961,4ac518e2f964a520a0aa20e3,Laughing Gravy,Gastropub,51.501143869563045,-0.10439159540743105,SE1 8EN,2.6302127166649423
1962,4ac518c3f964a52056a420e3,The Albion,Gastropub,51.53938613272337,-0.1094370615712038,N1 1HW,2.2985952587796947
